Year,Month,Date,Cause,Deaths,YearMonth
1854,Apr,1854-04-01,Disease,1,1854-Apr
1854,May,1854-05-01,Disease,12,1854-May
1854,Jun,1854-06-01,Disease,11,1854-Jun
1854,Jul,1854-07-01,Disease,359,1854-Jul
1854,Aug,1854-08-01,Disease,828,1854-Aug
1854,Sep,1854-09-01,Disease,788,1854-Sep
1854,Oct,1854-10-01,Disease,503,1854-Oct
1854,Nov,1854-11-01,Disease,844,1854-Nov
1854,Dec,1854-12-01,Disease,1725,1854-Dec
1855,Jan,1855-01-01,Disease,2761,1855-Jan
1855,Feb,1855-02-01,Disease,2120,1855-Feb
1855,Mar,1855-03-01,Disease,1205,1855-Mar
1855,Apr,1855-04-01,Disease,477,1855-Apr
1855,May,1855-05-01,Disease,508,1855-May
1855,Jun,1855-06-01,Disease,802,1855-Jun
1855,Jul,1855-07-01,Disease,382,1855-Jul
1855,Aug,1855-08-01,Disease,483,1855-Aug
1855,Sep,1855-09-01,Disease,189,1855-Sep
1855,Oct,1855-10-01,Disease,128,1855-Oct
1855,Nov,1855-11-01,Disease,178,1855-Nov
1855,Dec,1855-12-01,Disease,91,1855-Dec
1856,Jan,1856-01-01,Disease,42,1856-Jan
1856,Feb,1856-02-01,Disease,24,1856-Feb
1856,Mar,1856-03-01,Disease,15,1856-Mar
1854,Apr,1854-04-01,Wounds,0,1854-Apr
1854,May,1854-05-01,Wounds,0,1854-May
1854,Jun,1854-06-01,Wounds,0,1854-Jun
1854,Jul,1854-07-01,Wounds,0,1854-Jul
1854,Aug,1854-08-01,Wounds,1,1854-Aug
1854,Sep,1854-09-01,Wounds,81,1854-Sep
1854,Oct,1854-10-01,Wounds,132,1854-Oct
1854,Nov,1854-11-01,Wounds,287,1854-Nov
1854,Dec,1854-12-01,Wounds,114,1854-Dec
1855,Jan,1855-01-01,Wounds,83,1855-Jan
1855,Feb,1855-02-01,Wounds,42,1855-Feb
1855,Mar,1855-03-01,Wounds,32,1855-Mar
1855,Apr,1855-04-01,Wounds,48,1855-Apr
1855,May,1855-05-01,Wounds,49,1855-May
1855,Jun,1855-06-01,Wounds,209,1855-Jun
1855,Jul,1855-07-01,Wounds,134,1855-Jul
1855,Aug,1855-08-01,Wounds,164,1855-Aug
1855,Sep,1855-09-01,Wounds,276,1855-Sep
1855,Oct,1855-10-01,Wounds,53,1855-Oct
1855,Nov,1855-11-01,Wounds,33,1855-Nov
1855,Dec,1855-12-01,Wounds,18,1855-Dec
1856,Jan,1856-01-01,Wounds,2,1856-Jan
1856,Feb,1856-02-01,Wounds,0,1856-Feb
1856,Mar,1856-03-01,Wounds,0,1856-Mar
1854,Apr,1854-04-01,Other,5,1854-Apr
1854,May,1854-05-01,Other,9,1854-May
1854,Jun,1854-06-01,Other,6,1854-Jun
1854,Jul,1854-07-01,Other,23,1854-Jul
1854,Aug,1854-08-01,Other,30,1854-Aug
1854,Sep,1854-09-01,Other,70,1854-Sep
1854,Oct,1854-10-01,Other,128,1854-Oct
1854,Nov,1854-11-01,Other,106,1854-Nov
1854,Dec,1854-12-01,Other,131,1854-Dec
1855,Jan,1855-01-01,Other,324,1855-Jan
1855,Feb,1855-02-01,Other,361,1855-Feb
1855,Mar,1855-03-01,Other,172,1855-Mar
1855,Apr,1855-04-01,Other,57,1855-Apr
1855,May,1855-05-01,Other,37,1855-May
1855,Jun,1855-06-01,Other,31,1855-Jun
1855,Jul,1855-07-01,Other,33,1855-Jul
1855,Aug,1855-08-01,Other,25,1855-Aug
1855,Sep,1855-09-01,Other,20,1855-Sep
1855,Oct,1855-10-01,Other,18,1855-Oct
1855,Nov,1855-11-01,Other,32,1855-Nov
1855,Dec,1855-12-01,Other,28,1855-Dec
1856,Jan,1856-01-01,Other,48,1856-Jan
1856,Feb,1856-02-01,Other,19,1856-Feb
1856,Mar,1856-03-01,Other,35,1856-Mar
